3%,6%,9%,12%,15%
96,95.15,96,95.86,95.57
96.08,95.25,96.08,95.97,95.69
96.03,95,95.92,95.86,95.54
90.52,90.23,90.28,90.75,90.90
89.57,89.24,89.29,89.85,90.18
86.77,86.19,86.29,87.24,87.83
93.23,94.44,93.84,93.97,93.60
93.49,94.64,94.09,94.20,93.87
93.31,94.44,93.87,93.90,93.52
